idEtudiant,Architecture des Ordinateurs,Techniques de Compilation,Recherche Operationnelle,Developpement Mobile,Programmation Multimedias,Statistiques,Bases de Donnees Avancees,Reseaux Informatiques,Conception Orientee Objet,Programmation Orientee Objet,Conception des Bases de Donnees,Systeme Logique,Probabilites,Algorithmique et Structures de Donnees,Blockchain,Architecture Logicielle,Systemes Exploitation,Entrepreneuriat,Analyse Numerique,Math Pour Ingenieur,Opt 2 : Fouille de Données,Opt 9 : Big Data,Opt 10 : Developpement iOS,Opt 3 : Machine Learning-Deep Learning,Opt 6 : Business Intelligence,Opt 4 : Transactions Electroniques,Opt 1 : Cloud Computing,Opt 8 : Sécurité Informatique,Opt 5 : Réseaux IP,Opt 16 : Réseaux GSM,Opt 12 : Electronique Embarquée,Opt 13 : Système Robotique,Opt 14 : Conception des Cartes Electroniques,Opt 15 : Réseau de Capteurs Sans Fils,Opt 7 : Qualité et Test
1177,19.58,19.47,11.61,17.3,16.81,13.66,3.67,11.12,8.77,8.42,15.78,16.94,11.61,4.53,5.58,7.36,6.7,18.74,9.7,10.14,-1,-1,-1,-1,-1,15.11,12.97,18,8.42,13.9,-1,-1,-1,-1,-1
1178,9.21,9.49,10.76,5.14,6.36,5.81,17.98,6.46,19.46,5.8,7.2,13.21,10.76,4.59,16.8,17.14,12.02,4.72,18.81,8.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18.6,14.46,14.07,14.16,16.17
1179,18.84,3.85,10.01,5.16,5.34,7.47,9.85,8.13,14.14,9.72,12.17,3.45,10.01,3.63,11.57,14.34,3.3,3.85,4.36,15.85,9.3,11.59,9.79,11.07,8.73,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1180,16.89,19.89,9.87,6.06,4.08,8.13,13.4,13.11,7.19,13.17,10.06,3.41,9.87,16.6,5.78,11.11,15.26,15.48,8.12,3.98,-1,-1,-1,-1,-1,16.89,17.51,15.52,16.17,18.38,-1,-1,-1,-1,-1
1181,8.86,18.44,10.87,10.36,18.93,16.93,6.03,3.12,11.94,11.08,12.58,17.57,10.87,10.85,7.56,4.98,4.07,18.85,8.77,16.75,11.74,14.24,17.87,10.72,19.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1182,12.84,4.61,6.9,15.61,14.39,3.34,14.13,14.39,16.51,7,13.95,19.89,6.9,10.88,8.63,7.31,18.85,19.66,19.62,13.31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18.17,19.24,14.48,9.37,18.79
1183,4.28,7.37,14.82,4.82,17.06,13.8,6.53,9.17,6.58,11.75,3.4,7.25,14.82,10.17,5.06,13.61,4.37,4.47,18.77,4.82,7.5,18.73,11.11,16.37,12.71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1184,12.39,18.34,14.72,6.72,19.86,12.52,11,4.17,4.07,17.9,8.76,6.51,14.72,14.97,3.51,5.75,8.03,14.03,6.81,9.5,14.93,18.01,19.75,12.07,11.05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1185,17.08,4.67,16.94,18.87,17.02,12.25,15.1,11.21,15.14,3.26,7.7,5.36,16.94,14,9.5,12.1,17.23,3.16,11.8,7.76,-1,-1,-1,-1,-1,17.94,19.39,11.61,17.4,19.28,-1,-1,-1,-1,-1
1186,6.77,8.89,17.86,12.34,16.47,7.65,11.6,3.04,19.78,5.93,8.06,17.89,17.86,14.25,13.54,6.29,11.56,12.07,14.21,17.52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14.07,19.18,9.47,17.5,18.34
1187,19.63,6.35,9.44,7.37,16.58,13.01,5.26,9.48,10.65,15.26,10.6,10.81,9.44,11.85,6.62,14.83,10.3,4.5,4.56,17.02,17.99,19.22,15.53,17.33,11.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1188,17.99,6.29,18.28,8.14,11.06,8.77,17.32,15.05,4.26,18.67,13.23,17.71,18.28,15.01,8.58,17.83,9.04,5.24,6.02,9.98,9.73,18.45,17.13,11.45,10.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1189,19.39,11.1,17.13,4.13,7.68,14.33,18.32,10.81,17.54,6.62,5.47,15.28,17.13,4.84,3.78,14.71,18.55,14.48,11.75,12.51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11.46,14.38,17.67,12.77,18.5
1190,12.82,19.62,7.34,4.32,18.55,7.68,13.16,17.64,4.22,13.83,3.15,16.3,7.34,10.78,9.33,15.12,17.02,4.49,8.91,14.17,19.51,14.82,18.69,16.1,10.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1191,9.58,5.12,16,19.2,13.16,12.6,9.74,11.52,9.01,16.01,12.31,13.7,16,10.88,6.01,18.71,14.41,8.57,8.22,3.35,-1,-1,-1,-1,-1,9.65,18.76,15.19,13.31,7.82,-1,-1,-1,-1,-1
1192,19.32,6.64,13.68,7.83,16.09,8.77,12.9,10.28,15.75,6.76,18.91,15.22,13.68,7.83,11.27,14.68,12.33,15.48,15.89,9.55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12.37,9.08,12.89,15.9,8.08
1193,7.5,13.3,14.02,18.92,13.38,13.59,10.1,8.09,7.47,10.51,12.43,15.78,14.02,13.2,3.31,9.75,17.14,17.67,16.8,15.78,-1,-1,-1,-1,-1,7.25,15.38,17.76,14.71,12.94,-1,-1,-1,-1,-1
1194,9.18,8.32,5,15.3,10.75,12.77,15.17,14.44,10.27,19.72,7.83,6.77,5,17.5,3.87,13.74,4.61,4.95,3.39,10.32,9.53,10.03,18.43,16.76,15.88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1195,13.56,9.04,8.33,3.12,13.25,5.81,5.65,6.6,14.96,15.56,14.31,16.57,8.33,13.28,4.29,5.75,5.5,15.24,19.07,11.22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10.08,17.84,13.42,17.94,13.25
1196,7.63,16.54,19.05,6.07,8.01,3.38,15.58,8.46,17.9,10.14,16.02,17.12,19.05,9.09,19.22,12.71,3.31,9.17,11.06,18.51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11.01,10.01,10.46,11.04,9.73
1197,8.59,7.8,16.5,8.68,15,10.3,16.76,15.12,11.79,11.32,11.2,18.96,16.5,19.67,17.15,6.92,17.49,7.02,15.9,18.54,18.06,8.55,19.39,13.95,14.04,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1198,12.79,16.76,19.05,19.55,4.8,8.84,5.42,15.35,5.95,5.48,15.85,5.16,19.05,9.35,6.82,7.13,4.62,8.32,13.39,15.9,-1,-1,-1,-1,-1,8.41,13.66,17.27,16.72,12.5,-1,-1,-1,-1,-1
1199,6.82,16.44,14.91,17.41,4.05,14.35,13.54,12.35,11.32,9.88,10.01,10.58,14.91,13.28,11.23,14.42,15.2,18.03,10.49,9.03,-1,-1,-1,-1,-1,9.08,12.93,16.89,10.27,11.6,-1,-1,-1,-1,-1
1200,3.85,8.09,4.92,15.91,4.27,15.32,14.41,16.36,9.31,15.77,4.17,5.49,4.92,16.9,14.26,17.94,14.02,3.98,18.26,18.22,13.76,8.71,11.5,19.87,15.31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1201,7.61,10.18,19.29,18.44,16.1,14.57,4.28,13.26,10.07,14.38,10.09,14.58,19.29,11.58,19.41,3.85,12.54,11.97,14.76,8.69,15.88,11.05,10.8,14.21,15.68,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1202,15.79,15.44,8.03,14.88,12.27,6.42,17.33,4,6.3,19.92,16.99,4.06,8.03,7.77,13.14,11.24,8.5,9.13,16.12,7.47,-1,-1,-1,-1,-1,16.79,8.27,7.33,7.87,8.06,-1,-1,-1,-1,-1
1203,10.09,7.63,9.49,5.66,11.7,4.4,14.7,16.92,11.87,14.19,11.59,17.15,9.49,16.26,16.68,5.57,13.64,19.47,19.08,7.92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17.46,18.27,13.61,11.36,19.65
1204,9.4,7.12,6.41,19.55,19.37,16.81,17.56,14.17,19.55,16.06,18.39,5.51,6.41,17.47,3.55,19.95,4.42,11.79,15.26,15.81,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13.92,10.72,19.28,15.35,11.49
1205,16.16,11.13,3.3,4.14,6.58,19.65,18.28,18.58,11.1,19.14,16.05,11.2,3.3,9.76,13.19,15.26,10.2,19.73,12.55,6.49,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17.65,18.05,10.57,18.96,17.33
1206,9.28,3.11,11.98,17.41,13.63,18.79,17.83,3.12,19.28,8.2,12.58,18.66,11.98,19.66,16.63,15.74,10.18,10,18.33,17.73,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.23,9.81,15.49,18.14,13
1207,9.86,14.08,17.35,3.91,14.23,12.12,3.64,12.49,9.5,15.71,18.6,18.76,17.35,15.43,4.73,19.83,17.76,18.19,4.81,5.46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9.83,18.37,13.57,8.14,8.98
1208,4.96,9.14,5.6,11.33,18.04,10.82,17.49,5.03,17.86,16.87,13.6,8.55,5.6,13.76,13.85,11.74,14.17,6.18,4.64,5.07,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14.05,13.35,19.29,14.45,19.16
1209,3.28,9.89,19.34,19.6,10.37,12.61,12.39,12.82,5.04,3.96,13.59,10.88,19.34,15.65,19.32,8.08,14.53,5.73,12.73,13.98,15.06,17.02,11.35,9.17,16.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1210,17.58,8.99,11.01,7.92,15.51,19.18,16.32,18.84,19.76,12.3,11.98,11.95,11.01,16.77,3.53,18.11,13.79,11.34,11.43,4.33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.58,10.39,14.57,15.17,14.04
1211,3.24,17.62,12.74,5.31,4.51,3.5,5.18,5.44,17.68,4.4,5.58,14.6,12.74,14.95,17.08,12.87,11.39,11.19,16.41,7.77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12.2,10,11.33,13.4,10.06
1212,4.48,13.45,16.83,16.79,4.47,4.79,18.15,4.74,19.27,8.33,7.68,19.75,16.83,6.05,4.19,7.37,14.26,13.56,19.52,17.22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12.01,7.1,8.94,16.15,19.86
1213,16.62,10.7,13.04,5.97,17.59,10.07,9.2,14.72,7.88,9.9,10.82,4.2,13.04,13.06,4.47,14.65,16.43,4.08,9.16,3.99,-1,-1,-1,-1,-1,15.75,10.78,16.45,11.34,17.91,-1,-1,-1,-1,-1
1214,17.67,9.43,19.14,18.5,3.31,8.07,7.94,5.04,5.48,5.75,16.48,14.8,19.14,7.13,14.62,15.98,6.43,18.6,12.67,13.62,-1,-1,-1,-1,-1,19.85,13.73,14.76,8.3,7.89,-1,-1,-1,-1,-1
1215,5.5,12.6,12.23,3.46,18.69,12.76,3.43,5.06,10.37,7.96,11.31,5.42,12.23,15.03,11.97,5.78,6.12,18.98,19.71,15.31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17.23,7.81,7.66,18.2,19.92
1216,5.96,10.16,9.08,6.19,15.72,3.36,16.97,6.43,13.46,11.06,19.54,12.52,9.08,17.05,14.13,9.34,17.02,5.5,5.61,3.13,-1,-1,-1,-1,-1,8.78,16.2,17.76,16.93,12.63,-1,-1,-1,-1,-1
1217,10.65,14.07,10.61,5.53,15.46,15.06,18.59,17.88,14.6,16,3.54,12.11,10.61,15.24,14.85,13.67,18.51,4.82,6.91,9.52,11.78,14.79,8.25,18.15,17.67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1218,19.05,13.33,3.23,9.2,5.38,19.01,13.73,7.85,10.39,17.98,11.83,17.19,3.23,6.98,12.34,17.29,11.94,16.33,12.31,8.11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11.67,19.36,19.46,10.4,18.85
1219,6.63,6.28,14.7,13.68,15.82,8.53,8.53,9.05,4.48,15.22,12.37,7.98,14.7,6.06,15.24,19.95,8.05,8.22,17.86,16.19,11.1,17.32,13.63,14.68,12.85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1220,5.73,9.84,16.72,13.26,9.14,15.66,11.01,18.49,4.11,11.88,15.97,7.74,16.72,17.47,10.27,10.24,9.85,12.76,10.99,9.29,18.62,7.61,12.53,19.5,12.39,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1221,10.26,18.31,10.14,14.71,12.93,9.39,16.73,3.38,7.33,15.88,6.49,7.44,10.14,14.92,11.7,19.09,11.14,10.35,15.57,5.39,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.63,11.79,12.77,18.49,11.26
1222,17.68,7.75,9.3,19.68,13.64,4.11,17.75,10.4,12.69,18.24,8.8,4.89,9.3,4.96,11.57,19.5,10.53,7.96,18.47,10.04,-1,-1,-1,-1,-1,17.1,12.3,9.91,18.7,9.58,-1,-1,-1,-1,-1
1223,4.67,6.44,9.86,18.74,14.26,12.21,14.94,5.04,5.49,14.56,9.23,13.81,9.86,16.98,15.07,13.6,7.52,16.24,7.25,5.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17.41,16.5,8.82,18,12.98
1224,5.69,19.99,13.4,13.58,19.16,8,3.27,4.88,14.06,17.36,4.72,11.13,13.4,6.69,6.02,5.06,4.75,16.83,15.75,18.89,7.75,19.71,7.83,18.38,8.65,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1225,6.52,3.22,18.16,19.44,7.62,9.67,19.03,15.7,16.64,14.79,19.7,4.21,18.16,15.68,19.73,3.95,4.72,18.41,17.07,3.99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.85,11.95,17.03,15.39,9.74
1226,19.93,9.15,16.57,11.58,4.58,16.73,17.58,4.2,11.55,9.62,4.5,11.55,16.57,19.43,7.53,10.46,5.53,11.04,17.57,12.87,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9.51,16.01,17.21,10.36,14.51
1227,6.14,11.53,13.1,3.96,5.42,5.66,16.37,11.62,6.56,14.11,10.25,6.05,13.1,9.32,19.68,13.74,18.43,7.7,3.56,8.13,18.34,10.6,18.43,19.51,11.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1228,10.3,13.42,16.27,16.06,13.05,6.75,13.57,8.39,18.37,15.76,5.94,8.3,16.27,8.14,10.44,17.54,17.81,16.43,7.71,5.62,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9.56,7.8,15.63,9.62,18.75
1229,13.24,17.89,4.62,4.13,13.95,13.39,16.18,12.46,16.48,15.11,7.7,6.37,4.62,8.35,18.88,5.98,9.86,11.62,6.16,15.22,9.84,17.07,7.23,12.27,13.67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1230,5.79,10.29,7.38,6.65,8.55,11.43,15.54,17.59,18.74,3.43,15.5,17.99,7.38,17.22,13.1,16.85,5.89,9.97,11.48,18.42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.6,16.69,12.09,7.9,15.56
1231,13.86,17.35,6.16,8.32,5.16,7.98,5.45,19.02,10.82,3.27,18.03,18.65,6.16,6.37,6.32,13.19,15.35,7.23,14.56,13.98,-1,-1,-1,-1,-1,18.96,13.05,19.37,19.81,16.63,-1,-1,-1,-1,-1
1232,7.42,8.73,14.68,10.61,13.97,12.38,11.03,5.66,3.8,15.09,4.96,18.69,14.68,15.62,3.63,16.23,14.72,19.81,3.72,10.83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9.23,14.53,8.75,13.57,16.54
1233,14.04,6.13,12.36,5.51,16.09,5.78,17.29,4.2,13.26,18.6,8.09,19.33,12.36,14.11,19.53,4.98,8.48,18.23,7.62,17.95,8.93,19.78,18.28,9.32,7.41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1234,9.64,18.74,3.46,19.2,16.82,6.38,12.61,18.71,19.41,11.5,19.66,9.04,3.46,12.58,6,18.53,7.6,13,8.96,17.05,-1,-1,-1,-1,-1,8.32,13.87,14.73,19.38,17.5,-1,-1,-1,-1,-1
1235,10.82,17.03,8.15,18.47,4.13,7.69,5.06,5.01,19.96,4.6,5.75,19.15,8.15,3.56,12.32,17.31,15.73,10.79,13.84,17.41,-1,-1,-1,-1,-1,11.48,7.86,11.85,17.85,12.16,-1,-1,-1,-1,-1
1236,8.2,19.01,11.2,4.97,17.25,13.13,7.28,18.39,5.66,3.05,14.65,9.34,11.2,6.56,6.21,10.3,15.08,7.89,9.3,3.76,-1,-1,-1,-1,-1,17.15,7.33,7.49,11.48,19.89,-1,-1,-1,-1,-1
1237,5.44,16.74,4.69,11.71,12.38,18.82,7.16,13.73,9.61,3.29,12.63,8.45,4.69,6.59,18.83,6.15,13.89,14.63,16.34,3.76,-1,-1,-1,-1,-1,9.74,11.23,15.31,8.13,15.13,-1,-1,-1,-1,-1
1238,14.01,18.37,10.45,8.44,6.9,14.69,6.31,18.3,11.65,5.26,11.98,14.72,10.45,6.13,12.97,10.11,9.08,10.46,10.41,18.8,9.79,11.37,15.13,7.83,7.07,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1239,16.48,17.92,11.72,14.19,6.52,12.88,6.3,9.62,14.64,4.15,14.99,19.4,11.72,13.79,9.77,6.4,16.38,10.46,17.03,4.3,-1,-1,-1,-1,-1,18.94,7.87,12.04,7.62,12.63,-1,-1,-1,-1,-1
1240,11.65,11.51,19.86,11.83,12.92,9.99,8.79,15.26,11.04,14.4,3.46,15.94,19.86,3.58,5.46,8.27,10.12,11.58,10.9,6.26,14.99,8.91,14.1,19.48,18.04,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1241,5.09,19.28,3.98,13.19,8.15,5.23,10.81,8.54,15.01,19.14,13.3,18.36,3.98,9.63,16.08,11.87,7.24,7.82,17.23,10.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13.34,14.64,16.86,16.74,7.76
1242,14.63,11.04,14.67,3.61,9.78,12.35,12.73,14.64,4.15,17.02,19.95,13.06,14.67,4.96,18.23,8.26,7.22,10.51,18.85,5.75,13.18,19.09,16.05,19.15,12.15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1243,13.53,7.32,14.27,5.03,16.86,14.91,7.58,11.92,7.2,15.26,12.29,9.2,14.27,17.92,13.82,8.74,7.82,9.51,8.71,18.45,9.77,16.65,14.07,18.97,15.91,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1244,7.17,19.21,4.79,9.51,19.27,11.02,7.13,9.04,6.18,13.44,3.05,3.33,4.79,4.33,5.07,19.2,3.71,6.66,19.89,8.57,9.17,15.03,11.64,10.14,10.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1245,18.31,15.37,10.95,9.01,12.21,17.15,18.66,15.65,17.66,5.62,10.67,13.77,10.95,6.24,11.96,6.08,14.86,7.5,8.51,17.11,-1,-1,-1,-1,-1,8.57,15.64,10.27,14.28,19.29,-1,-1,-1,-1,-1
1246,9.95,4.43,16.29,3.75,9.83,7.15,9.44,14.18,13.6,9.66,8.88,3.21,16.29,8.7,18.96,8.2,14.26,9.9,4.82,14.6,18.1,10.96,8.35,15.21,13.82,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1247,6.83,12.82,16.84,10.75,4.21,4.4,4.08,15.49,3.52,4.99,13.78,4.36,16.84,12.92,6.97,19.16,4.18,10.9,6.03,6.97,-1,-1,-1,-1,-1,18.46,17.81,16.63,9.12,17.88,-1,-1,-1,-1,-1
1248,17.54,19.04,18.73,17.02,8.81,14.77,7.33,15.81,13.08,9.6,19.4,16.65,18.73,5.86,12.66,5.71,4.67,19.62,5.06,5.79,-1,-1,-1,-1,-1,13.77,13.73,11.94,17.94,8.48,-1,-1,-1,-1,-1
1249,16.03,12.09,7.12,10.91,16.88,4.38,10.69,16.06,14.09,10.13,17.73,16.77,7.12,5,19.58,9.07,4.42,17.54,6.86,5.95,-1,-1,-1,-1,-1,8.56,13.12,10.81,7.77,10.95,-1,-1,-1,-1,-1
1250,5.13,7.45,18.53,11.12,17.73,9.34,9.19,15.84,14.63,10.26,17.91,9.57,18.53,16.82,16.12,18.81,18.28,14.36,6.89,11.22,14.53,18.92,17.6,16.91,19.58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1251,16.63,19.05,15.41,19.01,16.25,5.83,8.5,4.2,17.72,3.76,13.42,19.28,15.41,9.87,16.27,17.29,10.32,3.06,18.38,3.32,-1,-1,-1,-1,-1,7.48,14.85,12.38,17.89,10.42,-1,-1,-1,-1,-1
1252,4.61,11.23,9.33,5.52,3.86,12.1,19.51,18.76,14.42,3.37,19.52,15.99,9.33,15.08,17.19,4.4,16.79,3.84,7.4,3.12,-1,-1,-1,-1,-1,8.2,7.31,16.06,8.49,14.6,-1,-1,-1,-1,-1
1253,4.72,6.01,7.56,15.3,17.79,9.86,10.62,8.54,17.26,15.1,4.02,9.1,7.56,5.33,12.2,10.15,7.57,12.08,14.19,8.89,7.38,19.09,8.51,18.2,10.56,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1254,5.11,12.44,9.49,19.76,19.18,8.16,16.59,9.47,13.82,9.11,5.66,18.99,9.49,7.69,12.96,14.32,11.08,3.11,7.81,13.59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19.54,18.73,12.18,11.4,10.41
1255,4.92,19.28,6.19,3.75,17.27,3.61,5.27,13.67,19.38,11.21,17.51,17.37,6.19,6.61,13.14,3.73,17.78,10.01,9.81,12.6,-1,-1,-1,-1,-1,8.65,16.18,19.17,13.21,10.59,-1,-1,-1,-1,-1
1256,8.6,9.15,12.04,9.53,6.21,9.03,3.41,18.23,3.62,15.7,6.32,7.49,12.04,16.94,19.62,15.85,4.79,4.24,10.26,8.7,19.81,8.63,10.64,7.72,16.08,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1257,10.68,19.71,5.88,4.38,17.33,13.61,5.26,8.64,6.73,3.06,8.77,19.56,5.88,13.04,19.15,18.08,14.62,14.86,11.46,10.89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14.54,16.97,13.18,17.36,17.95
1258,15.89,8.1,16.49,7.94,6.03,12.38,5.76,13.36,12.56,8.47,14.28,16,16.49,7.14,6.15,18.6,10.2,3.03,12.52,12.35,-1,-1,-1,-1,-1,10.95,9.03,10.77,9.84,14.16,-1,-1,-1,-1,-1
1259,10.47,8.4,4.7,3.82,13.86,9.13,19.81,10.94,13.69,9.95,3.99,11.28,4.7,15.8,6.24,4.1,17.19,13.07,19.28,15.51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12.93,16.68,13.23,16.66,9.9
1260,11.7,15.22,15.79,5.1,13.18,11.43,8.86,8.05,14.15,4.05,14.39,6.85,15.79,10.17,15.6,11.37,3.67,19.25,8.02,6.81,13.46,16.35,12.4,13.65,8.07,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1261,4.6,12.58,11.58,4.42,11.28,8.66,18.49,19.34,13.44,18.03,15.96,4.02,11.58,15.13,16.39,19.86,15.02,3.66,9.22,18.33,12.89,10.15,12.67,19.37,16.88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1262,5.83,7.44,9.9,3.63,4.07,3.61,13.06,12.35,17.83,16.15,13.14,9.07,9.9,18.75,5.9,5.43,4,10.73,13.84,12.34,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17.02,9.01,12.01,15.49,11.7
1263,18.38,15.67,4.74,10.81,5.74,5.38,14.01,16.87,17.97,19.69,15.13,19.44,4.74,16.1,10.31,17.21,11.01,8.13,3.01,15.79,-1,-1,-1,-1,-1,19.78,13.43,17.53,18.88,9.72,-1,-1,-1,-1,-1
1264,4.19,18.68,10.2,15.57,19.86,19.03,8.97,11.37,19.23,19.24,13.41,10.43,10.2,8.35,15.51,8.32,17.33,9.74,18.06,4.11,-1,-1,-1,-1,-1,9.66,8.87,14.78,16.88,15.45,-1,-1,-1,-1,-1
1265,14.71,6.74,13.68,3.02,13.07,17.2,3.36,3.43,10.53,14.4,9.11,15.37,13.68,17.05,17.62,8.06,15.85,12.93,11.9,7.28,12.38,16.28,13.49,11.32,12.74,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1266,6.88,8.96,8.98,5.66,11.23,9.48,14.03,19.74,11.28,12.77,3.24,15.63,8.98,6.48,5.43,12.66,16.06,6.59,17.29,16.15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19.54,7.79,18.29,13.11,10.82
1267,17.64,5.33,16.12,16.42,13.34,6.51,19.68,18.66,15.06,12.16,19.79,15.58,16.12,10.5,16.26,5.85,5.96,3.58,11.28,7.89,-1,-1,-1,-1,-1,8.2,13.4,19.24,17.19,9.96,-1,-1,-1,-1,-1
1268,17.68,14.19,9.58,3.9,8.05,10.68,14.64,13.28,14.61,10.78,7.49,3.91,9.58,4.87,10.96,6.24,6.09,3.86,10.48,8.38,18.08,8.18,19.1,19.31,7.83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1269,18.97,18.68,8.44,8.88,18.35,4.77,6.96,10.83,17.21,16.73,18.59,12.51,8.44,8.59,16.51,14.37,14.94,8.31,3.06,15.38,-1,-1,-1,-1,-1,12.12,8.68,18.96,16.31,10.82,-1,-1,-1,-1,-1
1270,6.27,9.83,19.8,3.08,16.57,19.53,13.92,14.01,16.8,9.08,10.54,4.61,19.8,10.1,12.72,9.75,16.57,10.26,3.34,15,18.47,19.66,7.16,14.41,9.31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1271,7.09,16.24,5,18.47,16.71,13.25,6.54,17.86,17.36,17.42,10.29,6.63,5,15.03,9.34,9.04,8.07,5.36,4.02,3.47,-1,-1,-1,-1,-1,17.61,13.91,8.78,10.66,8.99,-1,-1,-1,-1,-1
1272,7.58,6.41,5.85,18.11,16.51,6.51,11.88,19.31,10.56,18.36,12.83,11.41,5.85,8.35,5.52,10.79,17.82,9.34,5.44,14.6,-1,-1,-1,-1,-1,19.42,17.93,16.06,7.45,18.88,-1,-1,-1,-1,-1
1273,12.78,5.08,12.73,11.08,17.36,4.49,8.3,17.31,9.44,13.17,13.73,11.97,12.73,8.89,16.78,19.38,6.62,18.69,18.76,8.58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13.99,8.31,15.34,7.92,17.8
1274,14.08,10.19,15.98,11.22,3.31,8.77,4.7,12.88,10.41,13.42,5.68,19.48,15.98,4.81,11.06,7.33,4.28,17.91,9.27,5.37,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14.87,8.95,12.53,16.14,12.53
1275,14.09,9.27,8.61,17.2,10.89,15.16,18.61,17.31,9.08,16.24,19.49,10.67,8.61,3.74,11.27,4.15,18.66,6.79,11.44,8.55,-1,-1,-1,-1,-1,11.83,10.12,13.62,10.02,11.66,-1,-1,-1,-1,-1
1276,8.04,18.6,12.47,15.16,17.6,19.98,3.64,17.18,18.1,10.4,5.13,5.68,12.47,12.46,5.66,5.74,4.04,12.31,7.43,7.11,15.49,19.33,18.12,14.77,10.73,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1277,12.37,8.83,13.19,13.57,7.71,15.05,8.75,10.29,14.56,14.78,6.23,7.17,13.19,7.69,19.69,3.85,18.57,12.79,11.58,12.14,18.3,10.34,12.86,15.12,18.92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1278,6.41,17.64,16.99,6.55,16.14,16.25,19.86,3.62,8.06,17.5,12.36,18.89,16.99,6.13,14.42,18.65,16.97,9.76,4.08,18.99,19.2,15.53,17.99,19.55,19.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
